"track_name","energy","loudness","liveness","valence","speechiness","danceability","count","track_artist"
"Inside Out",0.65,-5.853,0.122,0.121,0.0315,0.545,1,"The Chainsmokers"
"Setting Fires",0.717,-5.751,0.261,0.561,0.0376,0.627,1,"The Chainsmokers"
"You Owe Me - Magnace Remix",0.751,-4.282,0.103,0.341,0.0484,0.615,1,"The Chainsmokers"
"Something Just Like This - Dimitri Vegas & Like Mike Remix",0.786,-5.544,0.336,0.449,0.0669,0.455,1,"The Chainsmokers"
"Beach House - Ashworth Remix",0.707,-7.031,0.0719,0.403,0.0507,0.772,1,"The Chainsmokers"
"High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,6,"Martin Garrix"
"High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,6,"Martin Garrix"
"High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,6,"Martin Garrix"
"Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,6,"Martin Garrix"
"High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,6,"Martin Garrix"
"Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,6,"Martin Garrix"
"Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,6,"Martin Garrix"
"High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,6,"Martin Garrix"
"Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,6,"Martin Garrix"
"Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,6,"Martin Garrix"
"High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,6,"Martin Garrix"
"Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,6,"Martin Garrix"
"In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,5,"Martin Garrix"
"Lions in the Wild",0.847,-6.81,0.816,0.28,0.0442,0.504,5,"Martin Garrix"
"Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,5,"Martin Garrix"
"No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,5,"Martin Garrix"
"Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,5,"Martin Garrix"
"No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,5,"Martin Garrix"
"In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,5,"Martin Garrix"
"No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,5,"Martin Garrix"
"Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,5,"Martin Garrix"
"Lions in the Wild",0.847,-6.81,0.816,0.28,0.0442,0.504,5,"Martin Garrix"
"In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,5,"Martin Garrix"
"Lions in the Wild",0.847,-6.81,0.816,0.28,0.0442,0.504,5,"Martin Garrix"
"Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,5,"Martin Garrix"
"No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,5,"Martin Garrix"
"In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,5,"Martin Garrix"
"In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,5,"Martin Garrix"
"Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,5,"Martin Garrix"
"Lions in the Wild",0.847,-6.81,0.816,0.28,0.0442,0.504,5,"Martin Garrix"
"No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,5,"Martin Garrix"
